Perfume Name,Hotness Score,Number of Categories,Img Url
XJ 1861 Naxos Xerjoff (unisex) ~ 2015,0.8615172623780621,3,https://fimgs.net/mdimg/perfume/270x270.30529.jpg
Baccarat Rouge 540 Extrait Limited Edition 2021 Maison Francis Kurkdjian (unisex) ~ 2021,0.8608755488562616,4,https://fimgs.net/mdimg/perfume/270x270.70900.jpg
Le Male Jean Paul Gaultier (male) ~ 1995,0.8593985109934744,3,https://fimgs.net/mdimg/perfume/270x270.430.jpg
Vetiver Guerlain (male) ~ 2000,0.8570472083344545,3,https://fimgs.net/mdimg/perfume/270x270.69.jpg
Versace Pour Homme Versace (male) ~ 2008,0.85687637992086,3,https://fimgs.net/mdimg/perfume/270x270.2318.jpg
Allure Homme Edition Blanche Eau de Parfum Chanel (male) ~ 2014,0.8563615284443986,3,https://fimgs.net/mdimg/perfume/270x270.28942.jpg
Egoiste Chanel (male) ~ 1990,0.8558430891238321,3,https://fimgs.net/mdimg/perfume/270x270.613.jpg
Armani Code Absolu Giorgio Armani (male) ~ 2019,0.8547990511802326,4,https://fimgs.net/mdimg/perfume/270x270.53106.jpg
Dior Homme 2020 Dior (male) ~ 2020,0.8540998114087174,6,https://fimgs.net/mdimg/perfume/270x270.58714.jpg
Bleu de Chanel Chanel (male) ~ 2010,0.8519266195394247,3,https://fimgs.net/mdimg/perfume/270x270.9099.jpg
Dior Homme Dior (male) ~ 2011,0.8448359480468453,3,https://fimgs.net/mdimg/perfume/270x270.13015.jpg
Valentino Uomo Intense Valentino (male) ~ 2016,0.8444327181088511,3,https://fimgs.net/mdimg/perfume/270x270.38254.jpg
L'Ombre Des Merveilles Hermès (unisex) ~ 2020,0.8442378940378541,5,https://fimgs.net/mdimg/perfume/270x270.59799.jpg
Dior Homme Sport 2021 Dior (male) ~ 2022,0.8438199387517046,2,https://fimgs.net/mdimg/perfume/270x270.71326.jpg
Armani Code Parfum Giorgio Armani (male) ~ 2022,0.8425868319343078,2,https://fimgs.net/mdimg/perfume/270x270.75126.jpg
Allure Homme Sport Chanel (male) ~ 2004,0.8423831190206321,3,https://fimgs.net/mdimg/perfume/270x270.607.jpg
Fahrenheit Le Parfum Dior (male) ~ 2014,0.8419663350653962,3,https://fimgs.net/mdimg/perfume/270x270.23099.jpg
Prada L'Homme Intense Prada (male) ~ 2017,0.8413367481647129,3,https://fimgs.net/mdimg/perfume/270x270.45396.jpg
Luna Rossa Ocean Prada (male) ~ 2021,0.8413367481647129,3,https://fimgs.net/mdimg/perfume/270x270.68753.jpg
Gentleman Eau de Toilette Intense Givenchy (male) ~ 2021,0.8409140439512091,3,https://fimgs.net/mdimg/perfume/270x270.65051.jpg
Narciso Rodriguez for Him Bleu Noir Parfum Narciso Rodriguez (male) ~ 2022,0.8396275202551011,2,https://fimgs.net/mdimg/perfume/270x270.71783.jpg
Musk Therapy Initio Parfums Prives (unisex) ~ 2021,0.8394191807437122,4,https://fimgs.net/mdimg/perfume/270x270.66097.jpg
Orphéon Eau de Parfum Diptyque (unisex) ~ 2021,0.8365532126171932,4,https://fimgs.net/mdimg/perfume/270x270.65738.jpg
Sauvage Dior (male) ~ 2015,0.836324305143458,3,https://fimgs.net/mdimg/perfume/270x270.31861.jpg
Eros Eau de Parfum Versace (male) ~ 2020,0.8361023279556641,4,https://fimgs.net/mdimg/perfume/270x270.62762.jpg
Reflection Man Amouage (male) ~ 2006,0.834498551150075,3,https://fimgs.net/mdimg/perfume/270x270.920.jpg
Khamrah Lattafa Perfumes (unisex) ~ 2022,0.834498551150075,3,https://fimgs.net/mdimg/perfume/270x270.75805.jpg
Acqua di Giò Eau de Parfum Giorgio Armani (male) ~ 2022,0.8342595355228243,1,https://fimgs.net/mdimg/perfume/270x270.71606.jpg
Spicebomb Viktor&Rolf (male) ~ 2012,0.8338021740708436,3,https://fimgs.net/mdimg/perfume/270x270.13857.jpg
Ultra Male Jean Paul Gaultier (male) ~ 2015,0.8333342747836543,3,https://fimgs.net/mdimg/perfume/270x270.30947.jpg
Dior Homme Cologne 2022 Dior (unisex) ~ 2022,0.8319088501269203,2,https://fimgs.net/mdimg/perfume/270x270.72062.jpg
Tuscan Leather Tom Ford (unisex) ~ 2007,0.8311915293156494,3,https://fimgs.net/mdimg/perfume/270x270.1849.jpg
Spicebomb Infrared Viktor&Rolf (male) ~ 2021,0.8307068647908834,3,https://fimgs.net/mdimg/perfume/270x270.66514.jpg
Antaeus Chanel (male) ~ 1981,0.8299738958921956,3,https://fimgs.net/mdimg/perfume/270x270.616.jpg
Bentley for Men Intense Bentley (male) ~ 2013,0.8294812070621538,3,https://fimgs.net/mdimg/perfume/270x270.17666.jpg
Eau Sauvage Parfum 2017 Dior (male) ~ 2017,0.8289852336156616,3,https://fimgs.net/mdimg/perfume/270x270.43977.jpg
A*Men Pure Malt Mugler (male) ~ 2009,0.8272228155286511,3,https://fimgs.net/mdimg/perfume/270x270.6103.jpg
Toy Boy Moschino (male) ~ 2019,0.8254252444299809,5,https://fimgs.net/mdimg/perfume/270x270.55858.jpg
Iris Torréfié Guerlain (unisex) ~ 2020,0.8254176309844165,3,https://fimgs.net/mdimg/perfume/270x270.62527.jpg
Cool Water Davidoff (male) ~ 1988,0.8251561342602417,3,https://fimgs.net/mdimg/perfume/270x270.507.jpg
Encre Noire A L'Extreme Lalique (male) ~ 2015,0.8251561342602417,3,https://fimgs.net/mdimg/perfume/270x270.32356.jpg
Pi Givenchy (male) ~ 1998,0.8235675527333597,3,https://fimgs.net/mdimg/perfume/270x270.39.jpg
Grey Vetiver Tom Ford (male) ~ 2009,0.823299459681321,3,https://fimgs.net/mdimg/perfume/270x270.6697.jpg
Jubilation XXV Man Amouage (male) ~ 2007,0.8230303970320476,3,https://fimgs.net/mdimg/perfume/270x270.2366.jpg
Grand Soir Maison Francis Kurkdjian (unisex) ~ 2016,0.8219443085250909,3,https://fimgs.net/mdimg/perfume/270x270.40816.jpg
L'Instant de Guerlain pour Homme Eau Extreme Guerlain (male) ~ 2005,0.8213952599708351,3,https://fimgs.net/mdimg/perfume/270x270.11570.jpg
M7 Yves Saint Laurent (male) ~ 2002,0.8213952599708351,3,https://fimgs.net/mdimg/perfume/270x270.1031.jpg
Emporio Armani Stronger With You Intensely Giorgio Armani (male) ~ 2019,0.8168544025563952,4,https://fimgs.net/mdimg/perfume/270x270.52802.jpg
Luna Rossa Black Prada (male) ~ 2018,0.8168505958336129,3,https://fimgs.net/mdimg/perfume/270x270.48682.jpg
Interlude Man Amouage (male) ~ 2012,0.8153715065305724,3,https://fimgs.net/mdimg/perfume/270x270.15294.jpg
Ambre Nuit New Look Limited Edition Dior (unisex) ~ 2022,0.8153676998077901,2,https://fimgs.net/mdimg/perfume/270x270.71824.jpg
Dolce&Gabbana pour Homme (1994) Dolce&Gabbana (male) ~ 1994,0.8126327037050426,3,https://fimgs.net/mdimg/perfume/270x270.483.jpg
Habit Rouge Eau de Toilette Guerlain (male) ~ 1965,0.8120101415663147,3,https://fimgs.net/mdimg/perfume/270x270.16.jpg
The One Luminous Night Dolce&Gabbana (male) ~ 2021,0.8117045093220135,5,https://fimgs.net/mdimg/perfume/270x270.65224.jpg
Cedrat Boise Mancera (unisex) ~ 2011,0.8113823256765567,3,https://fimgs.net/mdimg/perfume/270x270.15211.jpg
Gentleman Eau de Parfum Givenchy (male) ~ 2018,0.8110664197180942,3,https://fimgs.net/mdimg/perfume/270x270.48476.jpg
Eau Sauvage Parfum Dior (male) ~ 2012,0.8104305548092938,3,https://fimgs.net/mdimg/perfume/270x270.14811.jpg
Acqua di Parma Colonia Acqua di Parma (unisex) ~ 1916,0.8078313125740751,3,https://fimgs.net/mdimg/perfume/270x270.1681.jpg
Essenza di Colonia Acqua di Parma (male) ~ 2010,0.8071670604698782,3,https://fimgs.net/mdimg/perfume/270x270.9829.jpg
Dior Homme Cologne 2013 Dior (male) ~ 2013,0.8068326970242059,3,https://fimgs.net/mdimg/perfume/270x270.17256.jpg
L'Instant de Guerlain pour Homme EDP Guerlain (male) ~ 2015,0.8064968240319014,3,https://fimgs.net/mdimg/perfume/270x270.44763.jpg
Tony Iommi Monkey Special Xerjoff (unisex) ~ 2021,0.8061632345236444,4,https://fimgs.net/mdimg/perfume/270x270.70789.jpg
Moustache Eau de Parfum Rochas (male) ~ 2018,0.806159427800862,3,https://fimgs.net/mdimg/perfume/270x270.52350.jpg
Opium Pour Homme Yves Saint Laurent (male) ~ 1995,0.8058204944518476,3,https://fimgs.net/mdimg/perfume/270x270.562.jpg
