Perfume Name;Combined Score
Aimez Moi Comme Je Suis Caron (male) ~ 2020;0.609956601391686
Terre D'Hermes Eau Intense Vetiver Hermès (male) ~ 2018;0.6089186792680896
Body Kouros Yves Saint Laurent (male) ~ 2000;0.6072187373745047
Tyger Tyger Francesca Bianchi (unisex) ~ 2020;0.606298723313665
Mitsouko Eau de Toilette Guerlain (female) ~ 2021;0.606288623013127
Side Effect Initio Parfums Prives (unisex) ~ 2016;0.6053069321555521
Alexandria II Xerjoff (unisex) ~ 2012;0.6035791018467795
Obsession for Men Calvin Klein (male) ~ 1986;0.6027859037764141
Halfeti Leather Penhaligon's (unisex) ~ 2020;0.6026588083620091
Millésime Impérial Creed (unisex) ~ 1995;0.6026383168079258
Sandalo Eau de Parfum Acqua di Parma (unisex) ~ 2019;0.6005713666273766
Pegasus Parfums de Marly (male) ~ 2011;0.6001412036204476
Bvlgari Man Terrae Essence Bvlgari (male) ~ 2021;0.5997656540239915
Guerlain Homme L'Eau Boisée Guerlain (male) ~ 2012;0.597360057188219
Halfeti Cedar Penhaligon's (unisex) ~ 2020;0.5973269512220385
Chrome Azzaro (male) ~ 1996;0.5953697326562813
CH Men Carolina Herrera (male) ~ 2009;0.595074275409794
Sedley Parfums de Marly (unisex) ~ 2019;0.5950284362359367
Sauvage Eau de Parfum Dior (male) ~ 2018;0.5915100914475753
Guerlain Homme Eau de Parfum (2016) Guerlain (male) ~ 2016;0.5912391310702029
Midnight in Paris Van Cleef & Arpels (male) ~ 2010;0.5875987971815351
Overture Man Amouage (male) ~ 2019;0.5874756042141064
Halloween Man X Halloween (male) ~ 2019;0.5871212714673646
Polo Deep Blue Parfum Ralph Lauren (male) ~ 2020;0.5867383506309509
Zellige Limited Edition: Ambre Sultan Serge Lutens (unisex) ~ 2020;0.5846221662453963
Coromandel Eau de Parfum Chanel (unisex) ~ 2016;0.5838770994494331
Lagerfeld Classic Karl Lagerfeld (male) ~ 1978;0.583862990435587
La Collection M7 Oud Absolu Yves Saint Laurent (male) ~ 2011;0.582438474391568
L'Instant de Guerlain pour Homme Guerlain (male) ~ 2004;0.5822271052140553
Ameer Al Oudh Intense Oud Lattafa Perfumes (unisex) ~ 2021;0.5801856555288174
Fakhar Black Lattafa Perfumes (male) ~ 2021;0.5791864911022321
Bon Monsieur Rogue Perfumery (unisex) ~ 2020;0.5784928802234157
Versace L'Homme Versace (male) ~ 1984;0.5779892807456617
Dolce&Gabbana Pour Homme (2012) Dolce&Gabbana (male) ~ 2012;0.5772680247276538
212 Men Carolina Herrera (male) ~ 1999;0.5770349598585358
Yves Saint Laurent Pour Homme Yves Saint Laurent (male) ~ 1971;0.5770033398569789
Pasha Cartier Cartier (male) ~ 1992;0.5767634221564204
L'Homme Ultime Yves Saint Laurent (male) ~ 2016;0.5760486528963648
Greenley Parfums de Marly (unisex) ~ 2020;0.5752386041500299
Bvlgari Pour Homme Bvlgari (male) ~ 1996;0.5752192321130234
Cuoium Orto Parisi (unisex) ~ 2021;0.5744762959883971
Versace Pour Homme Oud Noir Versace (male) ~ 2013;0.5730327317333586
Dreamer The Original Edition Versace (male) ~ 1996;0.5729895181968532
Les Exclusifs de Chanel Sycomore Chanel (unisex) ~ 2008;0.5728492169758105
Eau Capitale Eau de Parfum Diptyque (unisex) ~ 2019;0.5724127202665683
Constantinople Penhaligon's (unisex) ~ 2021;0.5712108563947979
Boucheron Pour Homme Boucheron (male) ~ 1991;0.5707858226665974
Leather Eau de Parfum Acqua di Parma (unisex) ~ 2019;0.570657737378758
Azzaro Chrome Extreme Azzaro (male) ~ 2020;0.5692712319397863
CK One Shock For Him Calvin Klein (male) ~ 2011;0.5691725648498769
Gentle Fluidity Silver Maison Francis Kurkdjian (unisex) ~ 2019;0.5683088693818893
Gris Dior New Look Limited Edition Dior (unisex) ~ 2022;0.5682454919283403
1881 Men Cerruti (male) ~ 1990;0.5667565779473015
La Yuqawam Homme Rasasi (male) ~ 2012;0.5664549467347919
Acqua di Gio Essenza Giorgio Armani (male) ~ 2012;0.5663852092996579
This is Him Zadig & Voltaire (male) ~ 2016;0.5660929926973356
4711 Original Eau de Cologne 4711 (unisex);0.5654962788686031
EGE / ΑΙΓΑΙΟ Nishane (unisex) ~ 2020;0.5645896869900402
Ombre Nomade Louis Vuitton (unisex) ~ 2018;0.5643491789343948
L'Homme Le Parfum Yves Saint Laurent (male) ~ 2020;0.5642168909839347
Les Absolus d'Orient Santal Royal Guerlain (unisex) ~ 2014;0.5640347878873817
Rouge Trafalgar Dior (female) ~ 2020;0.5635446081805691
Armani Eau Pour Homme (new) Giorgio Armani (male) ~ 2013;0.5633100338617634
Bvlgari Extreme Bvlgari (male) ~ 1999;0.5630112950515629
