Perfume Name,Wilson Score,Thumbs Up,Thumbs Down,Img Url
Straight to Heaven Oud and Musk Special Blend 2021 By Kilian (unisex) ~ 2021,0.52062,55,33,https://fimgs.net/mdimg/perfume/270x270.67097.jpg
Bleu de Chanel All-Over Spray Chanel (male) ~ 2021,0.42572,72,70,https://fimgs.net/mdimg/perfume/270x270.67790.jpg
Musk Deer Zoologist Perfumes (unisex) ~ 2020,0.43421,68,63,https://fimgs.net/mdimg/perfume/270x270.62710.jpg
Bad Boy Le Parfum Carolina Herrera (male) ~ 2021,0.36587,106,143,https://fimgs.net/mdimg/perfume/270x270.65718.jpg
Burlington 1819 Roja Dove (unisex) ~ 2020,0.43276,64,59,https://fimgs.net/mdimg/perfume/270x270.62320.jpg
Bvlgari Man Glacial Essence Bvlgari (male) ~ 2020,0.39835,75,83,https://fimgs.net/mdimg/perfume/270x270.62569.jpg
Lalique White in Black Lalique (male) ~ 2021,0.57033,43,19,https://fimgs.net/mdimg/perfume/270x270.66242.jpg
Meander Amouage (unisex) ~ 2020,0.41529,65,65,https://fimgs.net/mdimg/perfume/270x270.62859.jpg
Bentley For Men Silverlake Bentley (male) ~ 2020,0.43464,58,52,https://fimgs.net/mdimg/perfume/270x270.63168.jpg
Fantomas Nasomatto (unisex) ~ 2020,0.37751,84,104,https://fimgs.net/mdimg/perfume/270x270.62775.jpg
Polo Red Eau de Parfum Ralph Lauren (male) ~ 2020,0.42957,56,51,https://fimgs.net/mdimg/perfume/270x270.61990.jpg
Ferragamo Intense Leather Salvatore Ferragamo (male) ~ 2021,0.47888,46,32,https://fimgs.net/mdimg/perfume/270x270.65225.jpg
Kobraa Bvlgari (male) ~ 2020,0.50458,39,23,https://fimgs.net/mdimg/perfume/270x270.59754.jpg
Iris Malikhân Maison Crivelli (unisex) ~ 2020,0.4042,55,56,https://fimgs.net/mdimg/perfume/270x270.62617.jpg
Secret Woods CoSTUME NATIONAL (male) ~ 2021,0.44143,46,38,https://fimgs.net/mdimg/perfume/270x270.70753.jpg
Coach Blue Coach (male) ~ 2020,0.45362,44,34,https://fimgs.net/mdimg/perfume/270x270.60332.jpg
Autumn Vibes Maison Martin Margiela (unisex) ~ 2021,0.37632,66,79,https://fimgs.net/mdimg/perfume/270x270.67789.jpg
Synthetic Jungle Frederic Malle (unisex) ~ 2021,0.40332,54,55,https://fimgs.net/mdimg/perfume/270x270.68794.jpg
Hugo Man Hugo Boss (male) ~ 2021,0.41273,50,48,https://fimgs.net/mdimg/perfume/270x270.64606.jpg
