Perfume Name,Final Z-Score,Number of Categories,Img Url
L’Homme Ideal Guerlain (male) ~ 2014,0.8167247483128666,3,https://fimgs.net/mdimg/perfume/270x270.25780.jpg
Moustache Eau de Parfum Rochas (male) ~ 2018,0.8163836338828041,3,https://fimgs.net/mdimg/perfume/270x270.52350.jpg
Beau De Jour Eau de Parfum Tom Ford (male) ~ 2020,0.8143277279935096,6,https://fimgs.net/mdimg/perfume/270x270.59064.jpg
Prada L'Homme Intense Prada (male) ~ 2017,0.8139958328723679,3,https://fimgs.net/mdimg/perfume/270x270.45396.jpg
Bleu de Chanel Parfum Chanel (male) ~ 2018,0.8137008149869084,3,https://fimgs.net/mdimg/perfume/270x270.49912.jpg
Eau Sauvage Parfum 2017 Dior (male) ~ 2017,0.8129171737286573,3,https://fimgs.net/mdimg/perfume/270x270.43977.jpg
Fahrenheit Le Parfum Dior (male) ~ 2014,0.8128480289117526,3,https://fimgs.net/mdimg/perfume/270x270.23099.jpg
Terre d'Hermes Flacon H 2021 Eau de Toilette Hermès (male) ~ 2021,0.8117808939041931,2,https://fimgs.net/mdimg/perfume/270x270.65396.jpg
Allure Homme Sport Chanel (male) ~ 2004,0.8117232732234392,3,https://fimgs.net/mdimg/perfume/270x270.607.jpg
Dior Homme Dior (male) ~ 2011,0.8101974775970793,3,https://fimgs.net/mdimg/perfume/270x270.13015.jpg
Ambre Nuit New Look Limited Edition Dior (unisex) ~ 2022,0.810190563115389,2,https://fimgs.net/mdimg/perfume/270x270.71824.jpg
Pi Givenchy (male) ~ 1998,0.8101329424346351,3,https://fimgs.net/mdimg/perfume/270x270.39.jpg
Bon Monsieur Rogue Perfumery (unisex) ~ 2020,0.8098517535125568,1,https://fimgs.net/mdimg/perfume/270x270.64537.jpg
Interlude Man Amouage (male) ~ 2012,0.8096212707895415,3,https://fimgs.net/mdimg/perfume/270x270.15294.jpg
Rive Gauche pour Homme Yves Saint Laurent (male) ~ 2003,0.8087131688608621,3,https://fimgs.net/mdimg/perfume/270x270.1032.jpg
Antaeus Chanel (male) ~ 1981,0.8079249179481504,3,https://fimgs.net/mdimg/perfume/270x270.616.jpg
Allure Homme Chanel (male) ~ 1999,0.8078188958955637,3,https://fimgs.net/mdimg/perfume/270x270.523.jpg
Musk Therapy Initio Parfums Prives (unisex) ~ 2021,0.8072864808053988,4,https://fimgs.net/mdimg/perfume/270x270.66097.jpg
Pasha de Cartier Parfum Cartier (male) ~ 2020,0.8053241509016484,5,https://fimgs.net/mdimg/perfume/270x270.59418.jpg
Heritage Eau de Parfum Guerlain (male) ~ 1992,0.804569089501051,3,https://fimgs.net/mdimg/perfume/270x270.25312.jpg
Habit Rouge Eau de Toilette Guerlain (male) ~ 1965,0.8041772688719254,3,https://fimgs.net/mdimg/perfume/270x270.16.jpg
Y Eau de Parfum Yves Saint Laurent (male) ~ 2018,0.8040021020024338,3,https://fimgs.net/mdimg/perfume/270x270.50757.jpg
